Category,Food or category (serving),Number of sources,Mean Ni (ug/serving),Stddev (ug/serving),Min Ni (ug/serving),Max Ni (ug/serving)
Dairy products and substitutes,"Whipped cream,15 g",5,0.05,0.03,0.02,0.08
Dairy products and substitutes,"Cream substitute (soy),15 g",1,0.08,0,0.08,0.08
Dairy products and substitutes,"Cheese substitutes (coconut oil),30 g",4,0.23,0.22,0.04,0.59
Dairy products and substitutes,"Sour cream,24 g",51,0.37,0.12,0,0.91
Dairy products and substitutes,"Cream,15 g",113,0.29,0.3,0.02,2.06
Dairy products and substitutes,"Cream cheese,30 g",67,0.51,0.27,0.18,1.71
Dairy products and substitutes,"Cream (non-dairy),15 g",51,0.43,0.58,0.09,3.47
Dairy products and substitutes,"Evaporated milk,15 g",15,0.61,0.6,0.03,2.25
Dairy products and substitutes,"Cheeses,30 g",358,0.98,1.42,0.09,10.8
Dairy products and substitutes,"Quark,100 g",20,1.56,0.74,0.46,2.7
Dairy products and substitutes,"Crème fraîche,55 g",9,1.25,1.77,0.21,6
Dairy products and substitutes,"Cream substitute (oat),15 g",3,1.69,1.17,0.04,2.57
Dairy products and substitutes,"Yogurt drink,188 g",17,2.19,1.89,0.43,6.96
Dairy products and substitutes,"Processed cheese,30 g",82,2.25,2.1,0.45,12.27
Dairy products and substitutes,"Cultured milk,188 g",17,2.64,1.43,0.72,4.32
Dairy products and substitutes,"Cottage cheese,125 g",77,2.39,1.97,0.39,12.25
Dairy products and substitutes,"Milk,250 g",352,3.06,2.83,0.09,21.5
Dairy products and substitutes,"Yogurt,175 g",139,4.01,3.83,0.01,29.75
Dairy products and substitutes,"Milk powder,25 g",9,4.74,8.98,0.31,29.75
Dairy products and substitutes,"Buttermilk,250 g",14,6.05,7.63,0.37,31.25
Dairy products and substitutes,"Cheese substitutes (oat),30 g",1,8.55,0,8.55,8.55
Dairy products and substitutes,"Yogurt drink substitute (coconut),188 g",19,9.21,4.21,0.26,22.39
Dairy products and substitutes,"Almond beverage,250 g",11,10.93,8.24,2.5,28.25
Dairy products and substitutes,"Paneer/khoa/halloumi,80 g",5,10.94,9.38,5.36,29.6
Dairy products and substitutes,"Rice beverage,250 g",15,13.8,15.42,1.5,65.75
Dairy products and substitutes,"Cheese substitutes (soy),30 g",1,17.73,0,17.73,17.73
Dairy products and substitutes,"Yogurt substitute (coconut),175 g",28,18.87,26,0.14,122.58
Dairy products and substitutes,"Peanut beverage,250 g",1,23.23,0,23.23,23.23
Dairy products and substitutes,"Coconut beverage,250 g",8,24.91,35.01,0.23,102.5
Dairy products and substitutes,"Oat beverage,250 g",10,35.45,14.76,13.15,61
Dairy products and substitutes,"Yogurt substitute (oat),175 g",1,36.23,0,36.23,36.23
Dairy products and substitutes,"Soy beverage,250 g",43,48.51,30.78,3.2,130
Dairy products and substitutes,"Cashew beverage,250 g",7,69.93,37.93,18.58,109.25
Dairy products and substitutes,"Yogurt substitute (soy),175 g",8,107.95,47.6,31.5,215.25
Grain products and bakery,"Yogurt substitute (soy),175 g",1,0.12,0,0.12,0.12
Grain products and bakery,"Pasta, bean-based, cooked, 215 g*",2,0.12,0,0.12,0.12
